#cur_kf_id,numAddedSmartF,numAddedImuF,numAddedNoMotionF,numAddedConstantF,numAddedBetweenStereoF,state_size,landmark_count
1,0,1,0,0,0,6,392
2,400,1,0,0,1,9,768
3,0,1,1,0,1,12,1040
4,0,1,1,0,1,15,1116
5,0,1,1,0,1,18,1132
6,0,1,1,0,1,21,1158
7,0,1,1,0,1,24,1261
8,0,1,1,0,1,27,1325
9,0,1,1,0,1,30,1379
10,0,1,1,0,1,33,1440
11,400,1,0,0,1,36,1506
12,0,1,1,0,1,39,1559
13,0,1,1,0,1,42,1652
14,0,1,1,0,1,45,1898
15,0,1,1,0,1,48,2004
16,0,1,1,0,1,51,2119
17,0,1,1,0,1,54,2183
18,0,1,1,0,1,57,2306
19,0,1,1,0,1,60,2469
20,0,1,1,0,1,63,2574
21,370,1,0,0,1,66,2692
22,0,1,1,0,1,69,2796
23,0,1,1,0,1,72,2890
24,0,1,1,0,1,75,2948
25,0,1,1,0,1,78,3020
26,0,1,1,0,1,81,3080
27,0,1,1,0,1,84,3097
28,0,1,1,0,1,87,3108
29,0,1,1,0,1,87,3152
30,0,1,1,0,1,87,3188
31,0,1,1,0,1,87,3287
32,0,1,1,0,1,87,3391
33,374,1,0,0,1,87,3501
34,0,1,1,0,1,87,3610
35,0,1,1,0,1,87,3750
36,0,1,1,0,1,87,3869
37,0,1,1,0,1,87,3979
38,0,1,1,0,1,87,4020
39,0,1,1,0,1,87,4045
40,0,1,1,0,1,87,4086
41,0,1,1,0,1,87,4119
42,0,1,1,0,1,87,4182
43,0,1,1,0,1,87,4232
44,0,1,1,0,1,87,4280
45,0,1,1,0,1,87,4328
46,0,1,1,0,1,87,4430
47,400,1,0,0,1,87,4580
48,0,1,1,0,1,87,4678
49,0,1,1,0,1,87,4742
50,0,1,1,0,1,87,4798
51,0,1,1,0,1,87,4849
52,0,1,1,0,1,87,4907
53,0,1,1,0,1,87,4972
54,0,1,1,0,1,87,5046
55,383,1,0,0,1,87,5160
56,377,1,0,0,1,87,5259
57,0,1,1,0,1,87,5361
58,0,1,1,0,1,87,5483
59,0,1,1,0,1,87,5583
60,388,1,0,0,1,87,5675
61,0,1,1,0,1,87,5762
62,400,1,0,0,1,87,5819
63,400,1,0,0,1,87,5884
64,400,1,0,0,1,84,6131
65,400,1,0,0,1,84,6471
66,400,1,0,0,1,84,6790
67,400,1,0,0,1,84,6968
68,339,1,0,0,1,84,7182
69,400,1,0,0,1,84,7391
70,400,1,0,0,1,84,7682
71,400,1,0,0,1,84,7995
72,246,1,0,0,1,84,8117
73,247,1,0,0,1,84,8313
74,400,1,0,0,1,84,8669
75,400,1,0,0,1,84,9011
76,400,1,0,0,1,84,9338
77,400,1,0,0,1,84,9661
78,400,1,0,0,1,84,10021
79,400,1,0,0,1,87,10369
80,400,1,0,0,1,87,10702
81,400,1,0,0,1,87,10990
82,400,1,0,0,1,87,11343
83,400,1,0,0,1,87,11688
84,400,1,0,0,1,87,12017
85,400,1,0,0,1,87,12363
86,400,1,0,0,1,87,12728
87,400,1,0,0,1,87,13066
88,400,1,0,0,1,87,13436
89,400,1,0,0,1,87,13760
90,400,1,0,0,1,87,14084
91,385,1,0,0,1,87,14391
92,400,1,0,0,1,87,14706
93,400,1,0,0,1,87,14914
94,400,1,0,0,1,87,15204
95,400,1,0,0,1,87,15477
96,400,1,0,0,1,87,15772
97,400,1,0,0,1,87,16066
98,400,1,0,0,1,87,16394
99,400,1,0,0,1,87,16712
100,400,1,0,0,1,90,16959
101,400,1,0,0,1,87,17231
102,400,1,0,0,1,90,17539
103,400,1,0,0,1,90,17839
104,400,1,0,0,1,90,18121
105,400,1,0,0,1,90,18431
106,400,1,0,0,1,90,18745
107,400,1,0,0,1,87,19035
108,400,1,0,0,1,87,19337
109,398,1,0,0,1,87,19631
110,400,1,0,0,1,87,19950
111,400,1,0,0,1,87,20297
112,400,1,0,0,1,87,20610
113,400,1,0,0,1,87,20916
114,400,1,0,0,1,87,21240
115,333,1,0,0,1,87,21454
116,294,1,0,0,1,87,21693
117,400,1,0,0,1,87,22055
118,400,1,0,0,1,87,22385
119,318,1,0,0,1,87,22653
120,400,1,0,0,1,87,23020
121,400,1,0,0,1,87,23373
122,400,1,0,0,1,87,23711
123,400,1,0,0,1,87,24050
124,400,1,0,0,1,87,24399
125,400,1,0,0,1,87,24756
126,400,1,0,0,1,87,25101
127,400,1,0,0,1,87,25407
128,400,1,0,0,1,87,25726
129,400,1,0,0,1,87,26051
130,400,1,0,0,1,87,26407
131,400,1,0,0,1,87,26749
132,400,1,0,0,1,87,27053
133,400,1,0,0,1,87,27379
134,400,1,0,0,1,87,27689
135,400,1,0,0,1,87,28023
136,400,1,0,0,1,87,28358
137,400,1,0,0,1,87,28674
138,400,1,0,0,1,87,29000
139,400,1,0,0,1,87,29324
140,400,1,0,0,1,87,29623
141,400,1,0,0,1,87,29948
142,400,1,0,0,1,87,30281
143,400,1,0,0,1,87,30560
144,400,1,0,0,1,87,30890
145,400,1,0,0,1,87,31199
146,400,1,0,0,1,87,31537
147,400,1,0,0,1,87,31832
148,400,1,0,0,1,87,32156
149,400,1,0,0,1,87,32441
150,400,1,0,0,1,87,32797
151,400,1,0,0,1,84,33179
152,400,1,0,0,1,84,33545
153,400,1,0,0,1,84,33910
154,189,1,0,0,1,84,34060
155,166,1,0,0,1,84,34182
156,316,1,0,0,1,84,34453
157,344,1,0,0,1,84,34736
158,209,1,0,0,1,84,34879
159,400,1,0,0,1,84,35176
160,264,1,0,0,1,84,35372
161,260,1,0,0,1,84,35556
162,271,1,0,0,1,84,35711
163,259,1,0,0,1,84,35862
164,400,1,0,0,1,87,36170
165,327,1,0,0,1,87,36389
166,342,1,0,0,1,87,36625
167,339,1,0,0,1,87,36857
168,400,1,0,0,1,87,37140
169,310,1,0,0,1,87,37361
170,332,1,0,0,1,87,37604
171,400,1,0,0,1,87,37899
172,400,1,0,0,1,87,38192
173,314,1,0,0,1,87,38392
174,279,1,0,0,1,87,38578
175,286,1,0,0,1,87,38746
176,400,1,0,0,1,87,39060
177,322,1,0,0,1,87,39307
178,285,1,0,0,1,87,39516
179,358,1,0,0,1,87,39774
180,400,1,0,0,1,90,40069
181,400,1,0,0,1,90,40317
182,400,1,0,0,1,90,40603
183,400,1,0,0,1,90,40838
184,400,1,0,0,1,87,41094
185,278,1,0,0,1,87,41276
186,400,1,0,0,1,87,41542
187,400,1,0,0,1,87,41769
188,400,1,0,0,1,87,42020
189,342,1,0,0,1,87,42237
190,295,1,0,0,1,87,42408
191,400,1,0,0,1,87,42687
192,400,1,0,0,1,87,42993
193,400,1,0,0,1,87,43318
194,400,1,0,0,1,87,43631
195,240,1,0,0,1,87,43823
196,400,1,0,0,1,87,44160
197,400,1,0,0,1,87,44478
198,400,1,0,0,1,87,44776
199,400,1,0,0,1,87,45026
200,400,1,0,0,1,87,45316
201,400,1,0,0,1,87,45608
202,400,1,0,0,1,87,45877
203,400,1,0,0,1,87,46136
204,400,1,0,0,1,87,46400
205,400,1,0,0,1,87,46660
206,400,1,0,0,1,87,46925
207,400,1,0,0,1,87,47239
208,400,1,0,0,1,87,47563
209,304,1,0,0,1,87,47804
210,400,1,0,0,1,87,48152
211,400,1,0,0,1,87,48416
212,400,1,0,0,1,87,48703
213,400,1,0,0,1,87,48967
214,400,1,0,0,1,87,49234
215,400,1,0,0,1,87,49532
216,400,1,0,0,1,87,49814
217,400,1,0,0,1,90,50097
218,400,1,0,0,1,87,50376
219,400,1,0,0,1,87,50686
220,293,1,0,0,1,87,50931
221,400,1,0,0,1,87,51232
222,400,1,0,0,1,87,51536
223,400,1,0,0,1,87,51808
